id,name
0,"Typing: This video shows someone typing on a keyboard, demonstrating the proper technique and speed for typing on a computer"
1,"Basketball Dunk: This video captures the impressive feat of a basketball player dunking the ball into the hoop, showcasing their jumping ability and athleticism"
2,"Brushing Teeth: This video shows the proper technique for brushing teeth, highlighting the recommended motions and angles to effectively clean the teeth and gums"
3,"Skiing: This video features someone skiing down a mountain, showcasing their technique and control in navigating through snow and terrain using skis"
4,"Wall Pushups: This video demonstrates the exercise known as wall pushups, where the person stands facing a wall and pushes their body away from the wall using their arms and chest muscles"
5,"Biking: This video features someone riding a bike, either for leisure or as a sport, showcasing their pedaling technique, balance, and maneuvering skills"
6,"Soccer Penalty: This video features a soccer player taking a penalty kick, demonstrating their technique and strategy in kicking the ball towards the goal"
7,"Baby Crawling: This video captures the adorable sight of a baby learning to crawl, showcasing the different stages and techniques they use to move across the floor"
8,"Boxing Speed Bag: This video showcases the training exercise of hitting a speed bag used in boxing, focusing on the boxer's hand-eye coordination, rhythm, and timing"
9,"Haircut: This video shows a hairstylist cutting someone's hair, demonstrating different techniques for using scissors, clippers, and razors to create a desired hairstyle"
10,"Nunchucks: This video showcases the martial arts weapon known as nunchucks, demonstrating different techniques and tricks for using the two sticks connected by a chain or cord"
11,"Shotput: This video features an athlete performing the shot put in track and field, demonstrating their technique in throwing a heavy metal ball as far as possible"
12,"Basketball: This video showcases a basketball game, highlighting the players' dribbling, shooting, passing, and defensive skills"
13,"Cliff Diving: This video captures the thrilling sport of cliff diving, featuring individuals diving off cliffs or platforms into bodies of water, showcasing their technique, form, and bravery"
14,"Front Crawl: This video demonstrates the swimming stroke known as the front crawl or freestyle, showcasing the swimmer's arm and leg movements to move efficiently through the water"
15,"Golf Swing: This video showcases the technique of swinging a golf club, focusing on the golfer's grip, stance, backswing, downswing, and follow-through to hit the ball towards the target"
16,"Handstand Pushups: This video demonstrates the exercise known as handstand pushups, where the person performs pushups while upside down in a handstand position"
17,"Apply Eye Makeup: This video demonstrates the process of applying eye makeup, including eyeshadow, eyeliner, and mascara"
18,"Rowing: This video features someone rowing a boat or using a rowing machine, showcasing their rowing technique and rhythm to propel themselves forward using oars or paddles"
