id,name
0,"Getting a tattoo: In this video, a person is shown receiving a tattoo, a permanent design or artwork that is created by injecting ink into the skin using a needle"
1,"Picking fruit: In this video, a person is shown picking ripe fruit from trees or plants, typically as part of harvesting or gathering fresh produce"
2,"Weaving basket: This video shows someone creating a basket by interlacing flexible materials like reeds, bamboo, or strips of wood, resulting in a functional and decorative item"
3,"Playing xylophone: In this video, a person is shown playing the xylophone, a percussion instrument with wooden bars that produce sound when struck with mallets"
4,"Surfing water: This video shows someone riding a surfboard on the waves of the ocean or another body of water, using their body and board to balance and maneuver"
5,"Making snowman: In this video, a person is seen making a snowman, a common winter activity that involves rolling balls of snow to create a snowman's body and adding accessories like a carrot nose and buttons made of coal"
6,"Sharpening pencil: In this video, a person is shown using a pencil sharpener or a blade to sharpen a pencil, typically by rotating or scraping the pencil against the sharpener's blades"
7,"Petting cat: This video shows a person gently stroking or caressing a cat, typically to show affection or provide comfort to the feline"
8,"Catching or Throwing Baseball: The video depicts the act of catching or throwing a baseball, which is a common skill in the sport of baseball"
9,"Petting animal (not cat): In this video, a person is seen gently stroking or caressing an animal other than a cat, typically to show affection or provide comfort"
10,Cutting Watermelon: A video of someone slicing a watermelon into pieces or wedges using a knife or a special watermelon cutter
11,"Welding: This video shows someone joining two or more metal pieces together using heat and pressure, creating a strong and permanent bond"
12,"Lunge: In this video, a person is seen performing a lunge, a lower-body exercise that involves stepping forward with one leg and lowering the hips until both knees are bent at 90-degree angles"
13,"Parasailing: This video depicts a person being towed by a boat while attached to a parasail, a specially designed parachute-like canopy that allows them to glide through the air above the water"
14,"Waxing chest: This video shows someone removing unwanted hair from their chest using wax, which is applied to the skin and then pulled off, taking the hair with it"
15,"Sticking tongue out: This video shows someone extending their tongue out of their mouth, often as a playful or teasing gesture"
16,"Swimming breaststroke: This video shows someone swimming by moving their arms and legs in a coordinated motion, pushing water backward and propelling themselves forward"
17,"Sled dog racing: This video shows a team of dogs pulling a sled and a musher across snowy terrain, competing in a race against other teams"
18,"Slacklining: This video shows someone balancing on a narrow, flexible webbing stretched between two anchor points, using their core muscles and concentration to stay upright"
19,"Triple jump: This video shows someone participating in the track and field event of triple jump, where they perform a hop, a step, and a jump in a sequence to cover the longest distance possible"
20,"Playing volleyball: In this video, people are shown playing volleyball, a team sport played on a court with a net where players hit a ball back and forth over the net"
21,"Trapezing: This video shows someone performing acrobatic maneuvers on a trapeze, a horizontal bar suspended by ropes or cables, often seen in circus performances"
22,"Playing didgeridoo: This action involves playing a wind instrument called the didgeridoo, traditionally used by Indigenous Australians, which is played by blowing air into one end while manipulating the mouth and vocal cords to create rhythmic and droning sounds"
23,"Kitesurfing: In this video, a person is seen riding a board while being pulled by a kite, a popular water sport that combines aspects of surfing, windsurfing, and paragliding"
24,"Paragliding: In this video, a person is seen gliding through the air using a paraglider, a canopy-like wing that is inflated by wind and controlled by the pilot's body movements"
25,"Scrambling eggs: In this video, a person is shown whisking or beating eggs in a bowl and then cooking them in a pan, typically for the purpose of making scrambled eggs"
26,Balloon Blowing: The video demonstrates the process of inflating a balloon by blowing air into it
27,"Deadlifting: A video that demonstrates or explains the deadlift exercise in weightlifting, where the weightlifter bends at the knees and lowers the barbell to the ground before standing up and lifting the weight"
28,"Situp: This video shows someone lying on their back and lifting their upper body towards their knees, exercising their abdominal muscles"
29,"Shuffling cards: This video shows someone mixing playing cards together by splitting the deck into two or more parts and interleaving them, preparing them for a game"
30,"Stretching leg: This video shows someone extending and elongating their leg muscles, often as part of a warm-up or flexibility routine"
31,"Tapping guitar: This video shows someone using their fingers or a pick to tap the strings of a guitar, creating percussive sounds and melodies without strumming"
32,"Throwing axe: This video shows someone hurling an axe through the air with force, often aiming at a target or engaging in axe-throwing as a recreational activity"
33,"High kick: In this video, a person is seen executing a high kick, typically in martial arts or dance, where the leg is raised to a significant height while maintaining balance and control"
34,"Playing chess: This action involves participating in the strategic board game of chess, where two players move their pieces on a checkered board with the objective of checkmating the opponent's king, requiring critical thinking and planning"
35,"Wrapping present: This video shows someone covering a gift with decorative paper and adding finishing touches like ribbons or bows, preparing it for presentation"
36,"Finger snapping: This video shows a person snapping their fingers rhythmically, possibly as a form of expression or to keep time with music"
